date,asia,europe,us
01/01/2019,100,100,100
01/02/2019,100,99.99464605039138,100.68027210884354
01/03/2019,100,99.11820449945924,100
01/04/2019,100,102.179726734412,103.4013605442177
01/05/2019,100,102.179726734412,103.4013605442177
01/06/2019,100,102.179726734412,103.4013605442177
01/07/2019,96.15384615384616,96.12614976067846,100
01/08/2019,96.15384615384616,99.77339408281487,101.02040816326532
01/09/2019,96.15384615384616,97.8507907783572,101.36054421768708
01/10/2019,96.15384615384616,99.4315444003041,101.02040816326532
01/11/2019,93.4065934065934,100.17734958078574,105.44217687074833
01/12/2019,93.4065934065934,100.17734958078574,105.44217687074833
01/13/2019,93.4065934065934,100.17734958078574,105.44217687074833
01/14/2019,93.4065934065934,97.75093961815632,122.10884353741496
01/15/2019,93.4065934065934,98.66338648020646,119.04761904761904
01/16/2019,93.4065934065934,99.4529601987386,114.96598639455782
01/17/2019,93.4065934065934,102.2236291212027,115.98639455782312
01/18/2019,90.1098901098901,100.41238796860443,118.36734693877553
01/19/2019,90.1098901098901,100.41238796860443,118.36734693877553
01/20/2019,90.1098901098901,100.41238796860443,118.36734693877553
01/21/2019,90.1098901098901,96.3018931565816,118.36734693877553
01/22/2019,90.1098901098901,96.98291554679888,103.4013605442177
01/23/2019,90.1098901098901,97.97848247652291,101.36054421768708
01/24/2019,90.1098901098901,95.53212905160136,105.44217687074833
01/25/2019,87.91208791208791,93.98390067352686,108.16326530612244
01/26/2019,87.91208791208791,93.98390067352686,108.16326530612244
01/27/2019,87.91208791208791,93.98390067352686,108.16326530612244
01/28/2019,87.91208791208791,92.1848397562882,98.9795918367347
01/29/2019,87.91208791208791,92.82557367570055,100.34013605442178
01/30/2019,87.91208791208791,90.53555557935088,96.9387755102041
01/31/2019,87.91208791208791,89.1233175213355,95.57823129251702
02/01/2019,76.92307692307693,85.92366338648021,92.85714285714286
02/02/2019,76.92307692307693,85.92366338648021,92.85714285714286
02/03/2019,76.92307692307693,85.92366338648021,92.85714285714286
02/04/2019,76.92307692307693,86.21063508550257,90.47619047619048
02/05/2019,76.92307692307693,84.37021490753729,90.47619047619048
02/06/2019,76.92307692307693,85.47634089667949,90.47619047619048
02/07/2019,74.72527472527473,83.97094411547398,86.73469387755102
02/08/2019,74.72527472527473,82.29743331655762,87.75510204081634
02/09/2019,74.72527472527473,82.29743331655762,87.75510204081634
02/10/2019,74.72527472527473,82.29743331655762,87.75510204081634
02/11/2019,74.72527472527473,80.28300977631197,89.79591836734696
02/12/2019,74.72527472527473,78.89901380248209,91.49659863945578
02/13/2019,74.72527472527473,80.45353307134673,87.41496598639455
02/14/2019,74.72527472527473,78.72795511248648,87.41496598639455
02/15/2019,71.42857142857143,79.97314994271274,89.45578231292517
02/16/2019,71.42857142857143,79.97314994271274,89.45578231292517
02/17/2019,71.42857142857143,79.97314994271274,89.45578231292517
02/18/2019,71.42857142857143,77.17718360834787,89.45578231292517
02/19/2019,71.42857142857143,79.27673494737067,90.47619047619048
02/20/2019,71.42857142857143,80.71373502232598,89.79591836734696
02/21/2019,71.42857142857143,77.45358125689322,91.83673469387756
02/22/2019,71.42857142857143,76.37596504941696,92.51700680272108
02/23/2019,71.42857142857143,76.37596504941696,92.51700680272108
02/24/2019,71.42857142857143,76.37596504941696,92.51700680272108
02/25/2019,68.13186813186813,75.67312531454454,96.5986394557823
02/26/2019,68.13186813186813,76.19205688036065,96.9387755102041
02/27/2019,68.13186813186813,79.25531914893618,95.23809523809524
02/28/2019,68.13186813186813,79.73329300024629,95.57823129251702
03/01/2019,65.93406593406593,77.6372217284691,97.27891156462584
03/02/2019,65.93406593406593,77.6372217284691,97.27891156462584
03/03/2019,65.93406593406593,77.6372217284691,97.27891156462584
03/04/2019,65.93406593406593,77.49828673612524,97.27891156462584
03/05/2019,65.93406593406593,76.50178286521967,97.95918367346938
03/06/2019,65.93406593406593,74.9401696131236,96.5986394557823
03/07/2019,65.93406593406593,74.3707770722462,97.61904761904762
03/08/2019,62.637362637362635,73.8177140776751,97.27891156462584
03/09/2019,62.637362637362635,73.8177140776751,97.27891156462584
03/10/2019,62.637362637362635,73.8177140776751,97.27891156462584
03/11/2019,62.637362637362635,73.00016597243787,94.21768707482994
03/12/2019,62.637362637362635,71.11731574382422,94.55782312925167
03/13/2019,62.637362637362635,69.65234128216386,95.91836734693877
03/14/2019,62.637362637362635,69.39976870937691,96.9387755102041
03/15/2019,59.8901098901099,67.53244493462827,94.89795918367348
03/16/2019,59.8901098901099,67.53244493462827,94.89795918367348
03/17/2019,59.8901098901099,67.53244493462827,94.89795918367348
03/18/2019,59.8901098901099,68.04575485335532,96.9387755102041
03/19/2019,59.8901098901099,66.67541145102743,97.61904761904762
03/20/2019,59.8901098901099,67.46485132081936,95.91836734693877
03/21/2019,51.09890109890111,64.75227275160887,95.91836734693877
03/22/2019,51.09890109890111,63.95654199102678,93.5374149659864
03/23/2019,51.09890109890111,63.95654199102678,93.5374149659864
03/24/2019,51.09890109890111,63.95654199102678,93.5374149659864
03/25/2019,51.09890109890111,63.07006178457848,93.5374149659864
03/26/2019,51.09890109890111,64.82736189486984,93.19727891156462
03/27/2019,51.09890109890111,65.67877373138164,92.51700680272108
03/28/2019,51.09890109890111,62.89110601891015,92.17687074829932
03/29/2019,48.35164835164836,63.20712289455931,90.47619047619048
03/30/2019,48.35164835164836,63.20712289455931,90.47619047619048
03/31/2019,48.35164835164836,63.20712289455931,90.47619047619048
04/01/2019,48.35164835164836,61.31624174153273,92.17687074829932
04/02/2019,48.35164835164836,59.04241934274914,91.15646258503402
