date,europe,middleeast,russia
01/01/2019,100,100,100
01/02/2019,104.7986450884456,101.52772538664654,106.89587038134756
01/03/2019,103.2743695897629,103.5081101471143,106.44141474016992
01/04/2019,107.09446744448626,104.8283666540928,111.20331950207468
01/05/2019,107.09446744448626,104.8283666540928,111.20331950207468
01/06/2019,107.09446744448626,104.8283666540928,111.20331950207468
01/07/2019,110.06774557771924,105.45077329309692,114.0881248765066
01/08/2019,109.72901768912308,108.03470388532628,113.71270499901205
01/09/2019,114.15129845690628,113.579781214636,118.75123493380757
01/10/2019,115.675573955589,114.12674462466993,120.74688796680498
01/11/2019,114.28302596913812,112.22180309317238,118.31653823355067
01/12/2019,114.28302596913812,112.22180309317238,118.31653823355067
01/13/2019,114.28302596913812,112.22180309317238,118.31653823355067
01/14/2019,113.45502446368084,109.6567333081856,117.44714483303696
01/15/2019,112.9469326307866,112.61788004526592,117.15076071922546
01/16/2019,114.82875423409862,113.82497170878914,119.44279786603438
01/17/2019,114.64057207376742,113.8815541305168,119.52183362971743
01/18/2019,117.95257809559654,116.974726518295,123.84904169136534
01/19/2019,117.95257809559654,116.974726518295,123.84904169136534
01/20/2019,117.95257809559654,116.974726518295,123.84904169136534
01/21/2019,118.40421528039144,117.01244813278008,123.77000592768228
01/22/2019,115.09220925856228,114.90003772161448,121.59652242639794
01/23/2019,115.03575461046292,114.25877027536777,121.89290654020944
01/24/2019,114.86639066616485,114.42851754055071,121.9719423038925
01/25/2019,115.69439217162213,115.61674839683138,122.76229994072318
01/26/2019,115.69439217162213,115.61674839683138,122.76229994072318
01/27/2019,115.69439217162213,115.61674839683138,122.76229994072318
01/28/2019,112.53293187805797,112.5801584307808,119.24520845682672
01/29/2019,115.52502822732404,114.86231610712936,121.75459395376409
01/30/2019,117.29394053443734,115.97510373443984,123.25627346374236
01/31/2019,117.19984945427171,116.44662391550358,124.38253309622604
02/01/2019,116.97403086187428,118.37042625424368,123.19699664098005
02/02/2019,116.97403086187428,118.37042625424368,123.19699664098005
02/03/2019,116.97403086187428,118.37042625424368,123.19699664098005
02/04/2019,117.48212269476856,118.06865333836288,123.98735427781072
02/05/2019,116.9928490779074,117.03130894002264,122.82157676348548
02/06/2019,118.0090327436959,118.38928706148624,123.2167555819008
02/07/2019,115.50621001129092,116.54092795171633,120.52953961667654
02/08/2019,116.4283025969138,117.23877781969068,121.24086148982414
02/09/2019,116.4283025969138,117.23877781969068,121.24086148982414
02/10/2019,116.4283025969138,117.23877781969068,121.24086148982414
02/11/2019,115.54384644335715,116.20143342135044,121.10254890337876
02/12/2019,117.9149416635303,118.33270463975856,123.63169334123693
02/13/2019,120.0037636432066,120.59600150886456,124.9950602647698
02/14/2019,120.7376740684983,122.5575254620898,126.43746295198576
02/15/2019,124.1061347384268,124.9905695963787,129.69768820391226
02/16/2019,124.1061347384268,124.9905695963787,129.69768820391226
02/17/2019,124.1061347384268,124.9905695963787,129.69768820391226
02/18/2019,125.27286413248022,125.16031686156164,131.19936771389055
02/19/2019,124.46368084305608,125.08487363259148,130.11262596324835
02/20/2019,126.21377493413624,126.78234628442095,132.00948429164197
02/21/2019,126.38313887843432,127.17842323651452,132.18731475992888
02/22/2019,126.57132103876552,126.85778951339115,132.18731475992888
02/23/2019,126.57132103876552,126.85778951339115,132.18731475992888
02/24/2019,126.57132103876552,126.85778951339115,132.18731475992888
02/25/2019,122.09258562288296,122.57638626933232,126.1805967200158
02/26/2019,123.01467820850584,122.840437570728,127.04999012052951
02/27/2019,125.235227700414,125.33006412674465,128.9073305670816
02/28/2019,124.25668046669176,124.726518294983,127.87986563920173
03/01/2019,122.73240496800904,122.840437570728,125.27168543766054
03/02/2019,122.73240496800904,122.840437570728,125.27168543766054
03/03/2019,122.73240496800904,122.840437570728,125.27168543766054
03/04/2019,123.99322544222808,123.7457563183704,126.7140881248765
03/05/2019,123.82386149792998,124.48132780082987,126.31890930646117
03/06/2019,123.61686112156566,124.89626556016596,126.85240071132188
03/07/2019,124.2002258185924,124.59449264428515,127.46492787986566
03/08/2019,123.80504328189689,123.50056582421726,125.1136139102944
03/09/2019,123.80504328189689,123.50056582421726,125.1136139102944
03/10/2019,123.80504328189689,123.50056582421726,125.1136139102944
03/11/2019,124.87768159578472,126.29196529611464,127.93914246196404
03/12/2019,125.51750094091079,126.25424368162956,129.06540209444773
03/13/2019,126.4584117425668,128.12146359864204,130.17190278601066
03/14/2019,126.79713963116296,126.87665032063371,130.7449120727129
03/15/2019,125.91268347760632,126.82006789890605,130.60659948626753
03/16/2019,125.91268347760632,126.82006789890605,130.60659948626753
03/17/2019,125.91268347760632,126.82006789890605,130.60659948626753
03/18/2019,126.92886714339484,126.89551112787628,131.96996640980046
03/19/2019,127.07941287165976,127.48019615239532,132.91839557399723
03/20/2019,128.6036883703425,128.97019992455677,135.32898636633075
03/21/2019,128.24614226571322,127.48019615239532,135.23019166172693
03/22/2019,125.21640948438088,126.23538287438704,131.25864453665287
03/23/2019,125.21640948438088,126.23538287438704,131.25864453665287
03/24/2019,125.21640948438088,126.23538287438704,131.25864453665287
03/25/2019,126.53368460669928,126.44285175405508,133.39261015609566
03/26/2019,127.6815957847196,127.36703130894004,133.6692353289864
03/27/2019,128.07677832141513,126.87665032063371,133.3530922742541
03/28/2019,126.42077531050056,126.65032063372313,131.9304485279589
03/29/2019,129.01768912307114,129.0079215390419,135.58585259830073
03/30/2019,129.01768912307114,129.0079215390419,135.58585259830073
03/31/2019,129.01768912307114,129.0079215390419,135.58585259830073
