date,developedcountries,developingcountries,africa,asiaoceania,america
06/06/2019,98.69687362494784,99.47919059141354,98.5043696737533,99.93193479042836,100
06/07/2019,99.17803249322584,99.5484608593716,99.0513378616894,99.9801378018543,100.14440433212994
06/08/2019,99.17803249322584,99.5484608593716,99.0513378616894,99.9801378018543,100.14440433212994
06/09/2019,99.17803249322584,99.5484608593716,99.0513378616894,99.9801378018543,100.14440433212994
06/10/2019,98.98164701622576,99.42301306060338,98.81545386101736,99.88136907763992,100.14440433212994
06/11/2019,98.97716729650833,99.6645623812695,98.89096682463276,99.95967446293716,100
06/12/2019,99.02982962585612,99.47919059141354,98.778293737766,99.89782714484616,100
06/13/2019,98.61009344951584,99.4639794168096,98.568067722264,99.8878333807226,100
06/14/2019,98.19390034460696,99.40938422837142,98.19361330387716,99.86364282310828,100
06/15/2019,98.19390034460696,99.40938422837142,98.19361330387716,99.86364282310828,100
06/16/2019,98.19390034460696,99.40938422837142,98.19361330387716,99.86364282310828,100
06/17/2019,98.20271893487804,99.35181046043807,98.20235179756264,99.85835204804944,100
06/18/2019,97.84792286526029,99.42857142857142,97.92836940842986,99.77375373850792,100.21450596594718
06/19/2019,98.11130302146655,99.69898853674984,98.11050736407998,99.96683250414594,100
06/20/2019,98.77153761036968,99.90053050397876,98.77081913260211,100,100
06/21/2019,99.02982962585612,99.87396337523964,99.02889331460268,99.9842247481934,100
06/22/2019,99.02982962585612,99.87396337523964,99.02889331460268,99.9842247481934,100
06/23/2019,99.02982962585612,99.87396337523964,99.02889331460268,99.9842247481934,100
06/24/2019,99.63325740318906,99.9769311890324,99.63259487681684,100,100
06/25/2019,99.57201721037175,99.94990744472771,99.57139262691204,100,100
06/26/2019,99.51877680572464,99.89512378571354,99.5321746433847,100,100
06/27/2019,99.44976239739889,99.97034205496604,99.49716009611144,100,100
06/28/2019,99.61964196237416,100,99.61944906919535,100,100
06/29/2019,99.61964196237416,100,99.61944906919535,100,100
06/30/2019,99.61964196237416,100,99.61944906919535,100,100
07/01/2019,99.06459503533247,100,99.1330821109625,100,100
07/02/2019,98.8061218727057,100,99.09845056412308,100,100
07/03/2019,98.68796606536478,99.92324991875203,99.12807671276131,99.99484825012476,100.18484288354898
07/04/2019,98.69241964416666,99.98790225018148,99.2282561214711,100,100
07/05/2019,98.1718607965704,99.92745738121144,99.2547123518316,100,100
07/06/2019,98.1718607965704,99.92745738121144,99.2547123518316,100,100
07/07/2019,98.1718607965704,99.92745738121144,99.2547123518316,100,100
07/08/2019,98.11130302146655,99.95132122903,99.19310433348618,100,100
07/09/2019,98.03214021561288,99.9668214996682,99.13542374975306,99.9973474801061,100
07/10/2019,98.42148490678548,99.94143790849674,99.17559533955114,100,100
07/11/2019,98.43920553648792,100,99.2103027572994,100,100
07/12/2019,98.43477478085724,99.98796825712358,99.13584430670466,100,100
07/13/2019,98.43477478085724,99.98796825712358,99.13584430670466,100,100
07/14/2019,98.43477478085724,99.98796825712358,99.13584430670466,100,100
07/15/2019,98.51791787733404,100,99.22290264001802,100,100
07/16/2019,98.18067542845596,100,99.18162370708376,100,100
07/17/2019,98.19830944175656,100,98.94679982982292,100,100
07/18/2019,98.13661809084688,100,99.34212721905833,100,100
07/19/2019,98.16745407413224,100,99.13059963426792,100,100
07/20/2019,98.16745407413224,100,99.13059963426792,100,100
07/21/2019,98.16745407413224,100,99.13059963426792,100,100
07/22/2019,98.1718607965704,100,99.12696355606572,100.00136126652237,100.18484288354898
07/23/2019,97.53807729188502,99.98982439818585,98.75476675285292,100,100.18484288354898
07/24/2019,97.47721245347772,99.89019033674964,98.52393245884936,99.98820257834126,100
07/25/2019,97.61208685755092,99.70746334149996,98.5365573330202,99.9891564942259,100
07/26/2019,97.33187947839244,99.7529643780562,98.54188151825592,99.99527557910496,100
07/27/2019,97.33187947839244,99.7529643780562,98.54188151825592,99.99527557910496,100
07/28/2019,97.33187947839244,99.7529643780562,98.54188151825592,99.99527557910496,100
07/29/2019,97.37630099627094,99.88454245977525,98.5036822288926,99.9931351685316,100
07/30/2019,97.44572300631606,99.89406555223628,98.63502665116536,99.98664250524114,100
07/31/2019,97.3979847464232,99.90108108108107,98.66468323223036,99.98664250524114,100
08/01/2019,96.73773609943824,99.70368395061728,98.40737575777796,99.971588088161,100
08/02/2019,97.1179252614517,99.39867708959711,98.60506091524432,99.64520554690674,100
08/03/2019,97.1179252614517,99.39867708959711,98.60506091524432,99.64520554690674,100
08/04/2019,97.1179252614517,99.39867708959711,98.60506091524432,99.64520554690674,100
08/05/2019,97.84463956154576,99.33474448140308,98.12702030488576,99.75379042182456,100
08/06/2019,97.8566794192004,99.24953095684802,98.16562476650924,99.75096917770615,100
08/07/2019,98.11130302146655,99.20752262108935,98.2532720667329,99.82516706222762,100
08/08/2019,97.9794359445353,99.2867867867868,98.16771658001034,99.66132360398316,100
08/09/2019,97.98821605394627,99.43878385005176,98.7974965566052,99.56657993684382,100
08/10/2019,97.98821605394627,99.43878385005176,98.7974965566052,99.56657993684382,100
08/11/2019,97.98821605394627,99.43878385005176,98.7974965566052,99.56657993684382,100
08/12/2019,98.14102204521232,99.1568073459297,98.27352410908983,99.6655928859455,100
08/13/2019,97.86981718914322,99.16146300710204,98.20811538943136,99.63859276361164,100
08/14/2019,97.53807729188502,99.28385416666666,98.11826550855042,99.6616013900289,100
08/15/2019,97.17510358694084,99.1568073459297,98.36051405644037,99.37949159071854,100
