date,value
01/01/2019,100
02/01/2019,100.75187969924812
03/01/2019,99.89258861439312
04/01/2019,100.42964554242752
05/01/2019,101.18152524167564
06/01/2019,102.47046186895813
07/01/2019,102.1482277121375
08/01/2019,100.75187969924812
09/01/2019,100.10741138560688
10/01/2019,102.04081632653062
11/01/2019,105.4779806659506
12/01/2019,108.27067669172932
01/01/2020,110.0966702470462
02/01/2020,106.98174006444684
03/01/2020,102.25563909774438
04/01/2020,99.24812030075188
05/01/2020,97.9591836734694
06/01/2020,100
07/01/2020,100.75187969924812
08/01/2020,102.79269602577874
09/01/2020,105.15574650912998
10/01/2020,108.8077336197637
11/01/2020,113.3190118152524
12/01/2020,116.54135338345866
01/01/2021,121.91192266380236
02/01/2021,125.1342642320086
03/01/2021,127.92696025778734
04/01/2021,131.14930182599355
05/01/2021,137.91621911922664
06/01/2021,134.69387755102042
07/01/2021,133.61976369495167
08/01/2021,137.48657357679917
09/01/2021,138.66809881847476
10/01/2021,143.17937701396352
11/01/2021,145.43501611170785
12/01/2021,143.60902255639095
01/01/2022,145.75725026852845
02/01/2022,152.20193340494092
03/01/2022,172.07303974221267
04/01/2022,170.56928034371646
05/01/2022,170.46186895810956
06/01/2022,167.23952738990334
07/01/2022,152.09452201933405
08/01/2022,148.97959183673467
09/01/2022,147.47583243823848
10/01/2022,146.8313641245972
11/01/2022,146.0794844253491
12/01/2022,142.96455424274973
01/01/2023,141.13856068743289
02/01/2023,140.38668098818474
03/01/2023,137.48657357679917
04/01/2023,137.91621911922664
05/01/2023,133.72717508055857
06/01/2023,132.11600429645543
07/01/2023,133.61976369495167
08/01/2023,130.82706766917295
09/01/2023,130.71965628356608
10/01/2023,129.64554242749733
11/01/2023,129.53813104189044
12/01/2023,127.92696025778734
01/01/2024,126.3157894736842
02/01/2024,126.10096670247049
03/01/2024,127.7121374865736
04/01/2024,128.03437164339422
05/01/2024,129.43071965628357
06/01/2024,129.96777658431796
07/01/2024,129.8603651987111
08/01/2024,130.71965628356608
09/01/2024,133.8345864661654
10/01/2024,136.30504833512353
11/01/2024,137.16433941997852
12/01/2024,136.8421052631579
01/01/2025,134.3716433941998
02/01/2025,136.51987110633726
