date,index,corn,rice,wheat
01/01/2019,100,100,100,100
01/02/2019,100.11123043878489,100.20025839793284,100,100.69403771816798
01/03/2019,100.62135624424668,101.26614987080104,100.91819699499167,102.08504158369452
01/04/2019,101.00490948143602,102.13178294573642,101.25622594130716,102.73222443481316
01/05/2019,101.00490948143602,102.13178294573642,101.25622594130716,102.73222443481316
01/06/2019,101.00490948143602,102.13178294573642,101.25622594130716,102.73222443481316
01/07/2019,101.65694998465786,101.9315245478036,103.04364022682432,102.68244113857324
01/08/2019,102.07118748082232,101.33397932816536,103.8162778184026,102.87864589434228
01/09/2019,102.69637925744092,101.86692506459949,104.39644586707874,103.32669556050134
01/10/2019,101.92927278306227,100.33268733850127,104.83105451234152,102.08504158369452
01/11/2019,102.39720773243326,100.8656330749354,104.0577270657708,103.22712896802156
01/12/2019,102.39720773243326,100.8656330749354,104.0577270657708,103.22712896802156
01/13/2019,102.39720773243326,100.8656330749354,104.0577270657708,103.22712896802156
01/14/2019,102.20926664621048,100.93346253229971,102.2703127802536,102.1846081761743
01/15/2019,101.76434489107086,98.99870801033592,100.28973909684184,101.53742532505564
01/16/2019,101.9100951212028,99.73191214470285,101.11135639288622,101.83612510249502
01/17/2019,102.34351027922676,101.33397932816536,101.4493853392017,102.87864589434228
01/18/2019,102.98020865296102,101.79909560723516,102.6573214310352,102.87864589434228
01/19/2019,102.98020865296102,101.79909560723516,102.6573214310352,102.87864589434228
01/20/2019,102.98020865296102,101.79909560723516,102.6573214310352,102.87864589434228
01/21/2019,102.98020865296102,101.79909560723516,102.8987706784034,102.87864589434228
01/22/2019,102.39720773243326,101.0658914728682,102.8987706784034,103.57561204170082
01/23/2019,102.68870819269716,100.99806201550388,103.9611473668235,104.5185662410683
01/24/2019,102.33200368211106,100.5329457364341,103.1402199257716,103.62539533794072
01/25/2019,102.23995090518562,101.3985788113695,103.09193007629798,103.32669556050134
01/26/2019,102.23995090518562,101.3985788113695,103.09193007629798,103.32669556050134
01/27/2019,102.23995090518562,101.3985788113695,103.09193007629798,103.32669556050134
01/28/2019,102.31666155262349,101.26614987080104,103.57482857103436,103.07777907930186
01/29/2019,101.93310831543415,100.60077519379844,103.623118420508,101.98547499121472
01/30/2019,102.17858238723534,101.66666666666666,102.70561128050883,102.68244113857324
01/31/2019,101.43448910708804,100.4005167958656,102.5117620276218,102.63265784233336
02/01/2019,101.66845658177354,100.8656330749354,102.8987706784034,104.170083167389
02/02/2019,101.66845658177354,100.8656330749354,102.8987706784034,104.170083167389
02/03/2019,101.66845658177354,100.8656330749354,102.8987706784034,104.170083167389
02/04/2019,102.4930960417306,101.13372093023256,103.18850977524524,104.4687829448284
02/05/2019,102.5429579625652,101.53100775193798,103.7196981194553,104.76748272226776
02/06/2019,102.39337220006136,101.33397932816536,102.17373308130632,104.5185662410683
02/07/2019,101.38079165388154,100.81395348837208,101.8936519543592,102.1348248799344
02/08/2019,101.50352868978212,100.65245478036177,100.93751293478113,102.96064191167856
02/09/2019,101.50352868978212,100.65245478036177,100.93751293478113,102.96064191167856
02/10/2019,101.50352868978212,100.65245478036177,100.93751293478113,102.96064191167856
02/11/2019,101.39229825099724,100.67829457364338,100.2993970667366,103.24762797235564
02/12/2019,102.22844430806994,102.57105943152452,100.46358255494695,103.60489633360666
02/13/2019,102.31666155262349,103.13307493540051,100.77263759157826,104.5185662410683
02/14/2019,101.21586376189012,102.13178294573642,99.56539135473724,101.43785873257583
02/15/2019,101.53037741638538,102.0671834625323,97.48823797237822,100.74382101440789
02/16/2019,101.53037741638538,102.0671834625323,97.48823797237822,100.74382101440789
02/17/2019,101.53037741638538,102.0671834625323,97.48823797237822,100.74382101440789
02/18/2019,101.53037741638538,102.0671834625323,96.47346127843927,100.74382101440789
02/19/2019,100.5599877262964,100.79780361757103,96.47346127843927,97.8124633946351
02/20/2019,100.06520405032218,101.19832041343668,98.26087556395645,96.222326344149
02/21/2019,100.92819883399817,102.46447028423772,100.43460864526276,97.56354691343564
02/22/2019,100.9473764958576,102.53229974160205,100.43460864526276,97.71289680215531
02/23/2019,100.9473764958576,102.53229974160205,100.43460864526276,97.71289680215531
02/24/2019,100.9473764958576,102.53229974160205,100.43460864526276,97.71289680215531
02/25/2019,99.72767720159555,101.33397932816536,99.85513045157909,93.93815157549489
02/26/2019,99.34412396440624,100.26485788113696,102.6573214310352,93.04498067236734
02/27/2019,99.3709726910095,99.6673126614987,102.17373308130632,92.74628089492796
02/28/2019,98.76879410862226,98.86627906976744,102.70561128050883,91.30549373316154
03/01/2019,98.8608468855477,99.46705426356588,101.73912443604354,90.85744406700246
03/02/2019,98.8608468855477,99.46705426356588,101.73912443604354,90.85744406700246
03/03/2019,98.8608468855477,99.46705426356588,101.73912443604354,90.85744406700246
03/04/2019,98.5885240871433,99.93217054263565,103.1402199257716,90.51188942251376
03/05/2019,99.23289352562136,100.20025839793284,103.52653872156074,91.9497481550896
03/06/2019,98.1282602025161,99.3313953488372,104.97592406076244,89.41665690523601
03/07/2019,97.52991715250076,97.3998708010336,104.25088646366534,87.08269884034203
03/08/2019,98.2931880945075,97.13178294573645,104.54131541549968,87.33161532154153
03/09/2019,98.2931880945075,97.13178294573645,104.54131541549968,87.33161532154153
03/10/2019,98.2931880945075,97.13178294573645,104.54131541549968,87.33161532154153
03/11/2019,98.0093586989874,96.53100775193798,103.52653872156074,85.14407871617664
03/12/2019,99.30576864068732,97.53229974160206,103.7196981194553,90.01405646011479
03/13/2019,99.7046640073642,97.73255813953487,104.63789511444696,88.87196907578775
