date,developedcountries,developingcountries,africa,asiaoceania,america
01/01/2019,0.01634,0.02518065637797362,0.03849679193400557,0.02892561983471076,0.0100751260141203
02/01/2019,0.02031,0.01941720239364397,0.03110704483074111,0.01718907987866513,0.01107692307692309
03/01/2019,0.01893899999999999,0.03060099559416507,0.03201952760427895,0.03176229508196737,0.0123048796265025
04/01/2019,0.02009,0.02755102040816326,0.04377402710988665,0.02755102040816326,0.01689045559639845
05/01/2019,0.02,0.02804757185332018,0.03985597679593139,0.02854230377166167,0.02563800000000006
06/01/2019,0.0175,0.02854431589466233,0.03915343915343916,0.027,0.02778120755648838
07/01/2019,0.01799199999999999,0.03100553701098078,0.03433658329800782,0.02382782475019218,0.03293745910203427
08/01/2019,0.02091633466135456,0.038635,0.042155,0.03132004234297818,0.0336045
09/01/2019,0.01260899999999999,0.03850840041269476,0.04288953331556311,0.041004273504273533,0.02749832327297108
10/01/2019,0.012634,0.03910063835155586,0.05084695074248091,0.0531676197283774,0.02873972350800213
11/01/2019,0.01799999999999997,0.03622299303879994,0.0363931690442225,0.06266499642090205,0.03513099999999999
12/01/2019,0.01900000000000006,0.0387215,0.04101715130858791,0.09687589928057544,0.03313399586512566
01/01/2020,0.02069999999999993,0.04405556717562573,0.04777580320738428,0.090355,0.02886201201201196
02/01/2020,0.018476,0.04864342131450342,0.04828684262900684,0.08599999999999994,0.02294554952782801
03/01/2020,0.023428,0.04797360386602323,0.04479999999999995,0.07820419985517746,0.03202946379909333
04/01/2020,0.035403,0.05417940005031705,0.0543588001006341,0.10473457675753228,0.04502157676348539
05/01/2020,0.02859960552268248,0.05308724469688308,0.04700074389666597,0.08234704373946289,0.03658846576857277
06/01/2020,0.031494,0.04899122311952864,0.046,0.0791871058163982,0.04357100897340338
07/01/2020,0.024402,0.04934525388430386,0.041808,0.09961529672937376,0.0467992896389324
08/01/2020,0.022907,0.05803182791860038,0.05429999999999999,0.08670396252120094,0.0393047606635072
09/01/2020,0.02253325392098482,0.06198099648680988,0.06161884052843036,0.07006369426751591,0.04107030555555557
10/01/2020,0.024,0.06029865591936951,0.06832107843137258,0.08378870673952643,0.03426693378426484
11/01/2020,0.019074,0.05839188584934288,0.05978377169868576,0.08887425938117177,0.03851699008498586
12/01/2020,0.01008699999999999,0.05203611084244899,0.05467196819085496,0.06799999999999998,0.04344564312234222
01/01/2021,0.006167,0.053,0.05205568279696182,0.06166507177033498,0.055117
02/01/2021,0.002914,0.051,0.05071195503190973,0.06179884504331089,0.05588235294117649
03/01/2021,0.004569,0.05223399999999999,0.05375465642674473,0.05509574468085103,0.0433
04/01/2021,0.001996,0.05005499999999999,0.05849987747433771,0.04265708812260541,0.04289544235924936
05/01/2021,0.007387,0.05199025182778238,0.05317169222796769,0.05019515389652915,0.048411
06/01/2021,0.00730000000000004,0.05584415584415581,0.06711600000000001,0.06827003276198162,0.0414781297134239
07/01/2021,0.017208,0.06097875080489379,0.0661225,0.04779299363057324,0.0462
08/01/2021,0.02434456928838946,0.06280750095675466,0.074343539380611,0.054,0.05682782018659882
09/01/2021,0.02958015267175584,0.06579856494987435,0.06934347001909616,0.05024154589371976,0.05754795663052525
10/01/2021,0.027256,0.07180513643411823,0.07305654572728815,0.04309106578569377,0.07641196013289031
11/01/2021,0.0401600742163235,0.07354661016949146,0.07415446786957103,0.0680455635491608,0.07419829842931946
12/01/2021,0.04944690225415504,0.07551246523415545,0.08369027984439836,0.06732991659129728,0.0675904021628928
01/01/2022,0.054291,0.08922551020408166,0.09729714138314947,0.0723201902120072,0.07784805400071648
02/01/2022,0.069177,0.0898768250081653,0.10091696533046812,0.05927342256214141,0.0894690572783523
03/01/2022,0.077058,0.09863698928197276,0.10054679891794407,0.07183673469387775,0.11472705880614063
04/01/2022,0.101198,0.12035213032581452,0.12366264601320456,0.08101265822784809,0.12646219029197758
05/01/2022,0.109154,0.12548795646802635,0.12490045646802632,0.07840696950840087,0.13277405823989685
06/01/2022,0.1253365,0.13361027706057588,0.1346032770605759,0.08038585209003224,0.1369257950530034
07/01/2022,0.135127,0.1304483996332526,0.13320182426035687,0.0801186943620178,0.141495
08/01/2022,0.1393015,0.14071209914818983,0.14317223224049824,0.07729690078855667,0.142157
09/01/2022,0.14615928373898265,0.13547727630130524,0.14715406650890517,0.08414634146341471,0.1323674591113514
10/01/2022,0.1572885,0.122,0.14282301969291555,0.0942698706099816,0.11391478407378897
11/01/2022,0.15764008762886603,0.1293973554458061,0.13690776851931383,0.08399263032404902,0.13107226131045244
12/01/2022,0.1644795,0.1373355263157896,0.138,0.08853206032331551,0.138
01/01/2023,0.16896100000000003,0.1318705,0.136850783182193,0.0924196261516982,0.127706
02/01/2023,0.16885816348655686,0.12448249346987238,0.12612493105350242,0.07637936491191044,0.14043209876543217
03/01/2023,0.169631290627687,0.11712417437252312,0.11873813420621931,0.08006707189268503,0.12291293274219406
04/01/2023,0.134713,0.10204639175257736,0.116,0.0701548288343149,0.10362355674969126
05/01/2023,0.124962,0.09529390609232956,0.10446570972886748,0.06355075112164132,0.09662576687116564
06/01/2023,0.12099999999999994,0.09601024844720488,0.109283,0.04687408262041237,0.10075757575757582
07/01/2023,0.106897,0.086,0.09591934300508877,0.05137412842077216,0.08615611192930772
08/01/2023,0.099145,0.08131508047768832,0.09982224197311408,0.06349609699385483,0.07918099656082545
09/01/2023,0.083123,0.08056350000000001,0.09792874896437433,0.0599093471249672,0.079216
10/01/2023,0.069817,0.0728238519533928,0.09354254677127338,0.0599884242476576,0.06212001390901178
