date,developed_4b2,developing_4b2,africa_4b2,asiaoceania_4b2,america_4b2
01/01/2019,3.270378672674687,5.182237360534706,3.830284233135184,6.582572182419151,5.237797025016059
02/01/2019,3.232275711506893,5.1286574216282155,3.7672226608802584,6.0864872850320335,5.322422478642707
03/01/2019,3.2983612456181963,5.131794737263258,3.772854218234605,6.4060421339836315,5.46570816641677
04/01/2019,3.2523261426414436,4.992148905830655,3.9115103913833127,6.8184164254347035,5.514885291882242
05/01/2019,3.149510775678828,4.894809271404534,4.124836288648348,6.503930645632972,5.526807767320046
06/01/2019,3.254045850238178,5.0917631095181015,4.233752202778266,6.719205081323646,5.415323576737
07/01/2019,3.0668115958693543,5.148044754500057,4.284065371916069,6.564984019513306,5.493287171310259
08/01/2019,3.114146231066891,5.314134276450595,4.063155921748473,6.6929797078246,5.613112469452893
09/01/2019,3.058499403849805,5.077150068324002,3.996518708880316,6.685711834947844,5.602187782171397
10/01/2019,2.9921709798723093,5.142070185542435,3.9851895952077023,6.797771089339549,5.696765449125323
11/01/2019,2.980546722070382,5.175895239797956,4.0356912728534535,6.773717665451376,5.623131236400499
12/01/2019,3.057088679753905,5.347903080759217,4.256297936798427,6.862773185137705,5.577802811992575
01/01/2020,3.0316603262191673,5.263397444495629,4.101703207534596,6.7874241928417,5.449184229588067
02/01/2020,2.902955999514249,5.315014197216177,4.162858342631099,6.894203164143575,5.495217287896067
03/01/2020,2.966367283548355,5.230820594730284,4.101703207534596,6.80233413321465,5.508247927251641
04/01/2020,3.0213119326170563,5.412107710040116,4.669631343962464,6.5726459604018075,5.659568943753732
05/01/2020,2.999056016747997,5.489035789720074,4.417218838883412,6.54055679646471,5.5541142639679695
06/01/2020,2.9974824366034793,5.6020721353657,4.544555295696567,6.656579870311946,5.6020721353657
07/01/2020,3.2141312785357647,5.7144880172038945,4.669631343962464,6.66783317232386,5.838210668787502
08/01/2020,3.220353811207292,5.807570119422581,4.732734470232226,7.411533300911987,5.947426981685021
09/01/2020,3.2096075094587357,5.848314819683654,4.946598979940388,7.701889067835984,5.909529574834934
10/01/2020,3.1949321779860003,5.821974692459776,4.913380542918737,7.66659196502655,5.872245183390952
11/01/2020,3.211175381331871,5.62827677118584,4.901036873707282,7.717107697099689,5.745934616753796
12/01/2020,3.354966737463942,5.861975385296706,4.904088929421429,8.073292956120683,5.938073952642409
01/01/2021,3.3100913544363517,5.85662536639421,5.040740908697458,7.784308115831167,6.115344876111816
02/01/2021,3.2616534026498254,5.902348084865096,4.961788898304455,7.998347503604648,6.07058990674454
03/01/2021,3.2528203590425537,5.922921995177973,4.9655222317939485,8.161461876564195,6.333213717532171
04/01/2021,3.300228287702968,6.096530865897108,5.124975275696252,7.895808427437179,6.446125207810057
05/01/2021,3.2698667227994775,6.366567257928578,5.104952417018941,8.087492572395202,6.681704812250018
06/01/2021,3.2220741381998517,6.3870962771254405,5.123102816305548,8.041322746895712,6.71685031596509
07/01/2021,3.215717546163126,6.249869358826243,5.114825896807385,7.800954323758031,6.745235213542071
08/01/2021,3.465597371055085,6.785773569503521,5.89546530859982,8.411818173046049,7.363534887469159
09/01/2021,3.4020363352076957,6.605387957610646,5.77370632325274,8.472857493272413,7.100383390250532
10/01/2021,3.432407058585929,6.628832607401652,5.609611249511943,8.404169068738813,6.876055369318616
11/01/2021,3.450040120665548,6.531413992322014,5.373696896337949,8.793640686646775,6.606919637972661
12/01/2021,3.4450368841162473,6.70954639528509,5.696584532418971,8.890154211469348,6.7424941990894265
01/01/2022,3.266797708236284,6.219284402161112,5.432067177709749,7.993566124386133,6.249659775353751
02/01/2022,3.400324511283642,6.304103865013405,5.394812425861415,7.75609041811733,6.336172176144059
03/01/2022,3.4145103427255497,6.283571351437128,5.295193888183061,8.013084064496601,6.986875832068611
04/01/2022,3.3614664303301143,6.11977680425708,5.4403879238648685,7.698949549298153,6.8301659496573315
05/01/2022,3.2898520205101676,6.148229175971803,5.229880719526639,7.666123845560008,6.737427743829182
06/01/2022,3.2608018494682938,6.244178483669222,5.063643356805866,7.769546892377617,6.884681627953306
07/01/2022,3.1940057955859507,6.233509734672778,4.825307779156064,7.292117760112296,6.54202183200432
08/01/2022,3.1419807017876087,6.00182268521783,4.752116047431227,7.186112233635011,6.682289862062145
09/01/2022,3.07942405084389,6.017187965515092,4.643444832439997,7.512008249034109,6.493429938777252
10/01/2022,3.050952440051762,5.827940023044237,4.6511001152884175,7.293672221390621,6.523768982003919
11/01/2022,3.1884624922792315,6.1683070819250405,4.550779524452779,7.235865947995741,6.432579517025999
12/01/2022,3.283053395852579,6.460593121949085,5.142590282238119,8.186562062577469,7.030239848017129
01/01/2023,3.0961061945514987,6.022868705153215,4.665489856197648,7.033113744450311,6.594888917185989
02/01/2023,2.7973364592562735,5.96948103613564,4.551380690935398,6.775813909254601,6.640819317741007
03/01/2023,2.955561171142864,5.9838634938822635,4.503282461866103,7.008383206026696,6.685757215993098
04/01/2023,2.7988347073648088,6.054643369459603,4.5883220975512184,6.685256948838849,6.588977578953566
05/01/2023,2.7235650651136427,5.897573733262066,4.685482226763341,6.801281424305066,6.586757013812509
06/01/2023,2.7403334389638636,5.868462826823057,4.650326148191718,6.785210311700585,6.3690132654799445
07/01/2023,2.7906457057104657,5.98863866297037,4.5507762464707024,6.931756597358592,6.482864543469164
08/01/2023,2.7550234948083516,5.998452816022653,4.376869257745412,6.9860721070632525,6.480914665925144
09/01/2023,2.6984706699693053,5.9425013539857625,4.327796314291643,6.923992668843731,6.365706743258427
